algo,taille,test,temps
brute,500,1.539239883424E+AC0-07,
brute,500,1.521959304808E+AC0-07,
brute,500,1.518125534056E+AC0-07,
brute,500,1.532392501832E+AC0-07,
brute,500,1.546688079832E+AC0-07,
brute,500,1.51023864746E+AC0-07,
seuil,10000,9.69500541687E+AC0-06,0.0969500541687
seuil,10000,9.41729545593E+AC0-06,0.0941729545593
seuil,10000,9.8258972168E+AC0-06,0.098258972168
seuil,10000,9.63931083679E+AC0-06,0.0963931083679
seuil,10000,9.75811481476E+AC0-06,0.0975811481476
seuil,10000,9.50269699097E+AC0-06,0.0950269699097
seuil,10000,9.84768867493E+AC0-06,0.0984768867493
seuil,10000,9.94920730591E+AC0-06,0.0994920730591
seuil,10000,9.46409702301E+AC0-06,0.0946409702301
seuil,10000,9.66188907623E+AC0-06,0.0966188907623
seuil,1000,7.1759223938E+AC0-06,0.0071759223938
seuil,1000,7.2500705719E+AC0-06,0.0072500705719
seuil,1000,7.05718994141E+AC0-06,0.00705718994141
seuil,1000,6.89888000488E+AC0-06,0.00689888000488
seuil,1000,6.86097145081E+AC0-06,0.00686097145081
seuil,1000,6.86407089233E+AC0-06,0.00686407089233
seuil,1000,6.86717033386E+AC0-06,0.00686717033386
seuil,1000,6.94894790649E+AC0-06,0.00694894790649
seuil,1000,7.31110572815E+AC0-06,0.00731110572815
seuil,1000,7.55500793457E+AC0-06,0.00755500793457
seuil,25000,1.09076023102E+AC0-05,0.272690057755
seuil,25000,1.098983764648E+AC0-05,0.274745941162
seuil,25000,1.084483146668E+AC0-05,0.271120786667
seuil,25000,1.104359626772E+AC0-05,0.276089906693
seuil,25000,1.090184211732E+AC0-05,0.272546052933
seuil,25000,1.09565639496E+AC0-05,0.27391409874
seuil,25000,1.099187850952E+AC0-05,0.274796962738
seuil,25000,1.09801197052E+AC0-05,0.27450299263
seuil,25000,1.093784332276E+AC0-05,0.273446083069
seuil,25000,1.072863578796E+AC0-05,0.268215894699
seuil,5000,9.12041664124E+AC0-06,0.0456020832062
seuil,5000,9.01679992676E+AC0-06,0.0450839996338
seuil,5000,8.83798599244E+AC0-06,0.0441899299622
seuil,5000,9.037399292E+AC0-06,0.04518699646
seuil,5000,8.86898040772E+AC0-06,0.0443449020386
seuil,5000,8.71958732604E+AC0-06,0.0435979366302
seuil,5000,9.06720161438E+AC0-06,0.0453360080719
seuil,5000,8.90822410584E+AC0-06,0.0445411205292
seuil,5000,1.199140548706E+AC0-05,0.0599570274353
seuil,5000,8.96663665772E+AC0-06,0.0448331832886
seuil,500,6.17599487304E+AC0-06,0.00308799743652
seuil,500,6.54411315918E+AC0-06,0.00327205657959
seuil,500,6.20985031128E+AC0-06,0.00310492515564
seuil,500,6.86597824096E+AC0-06,0.00343298912048
seuil,500,6.11400604248E+AC0-06,0.00305700302124
seuil,500,6.0420036316E+AC0-06,0.0030210018158
seuil,500,6.3762664795E+AC0-06,0.00318813323975
seuil,500,6.90174102784E+AC0-06,0.00345087051392
seuil,500,6.5598487854E+AC0-06,0.0032799243927
seuil,500,6.38818740844E+AC0-06,0.00319409370422
seuil4,10000,8.39540958405E+AC0-06,0.0839540958405
seuil4,10000,8.22110176086E+AC0-06,0.0822110176086
seuil4,10000,8.37140083313E+AC0-06,0.0837140083313
seuil4,10000,8.56840610504E+AC0-06,0.0856840610504
seuil4,10000,8.51340293884E+AC0-06,0.0851340293884
seuil4,10000,8.32431316376E+AC0-06,0.0832431316376
seuil4,10000,8.29381942749E+AC0-06,0.0829381942749
seuil4,10000,8.47411155701E+AC0-06,0.0847411155701
